# Derived cases for the IANA 2025-10-09 boundary in iana-special-purpose-addresses.tsv.
# TSV: input<TAB>outcome<TAB>retained numeric answers or none
8.8.8.8	allow	8.8.8.8
0.255.255.255	deny	none
1.0.0.0	allow	1.0.0.0
10.0.0.1	deny	none
100.64.0.1	deny	none
127.0.0.1	deny	none
169.254.169.254	deny	none
172.16.0.1	deny	none
192.0.0.7	deny	none
192.0.0.8	deny	none
192.0.0.9	allow	192.0.0.9
192.0.0.10	allow	192.0.0.10
192.0.0.11	deny	none
192.0.0.170	deny	none
192.0.0.171	deny	none
192.0.2.1	deny	none
192.31.196.1	allow	192.31.196.1
192.52.193.1	allow	192.52.193.1
192.88.99.1	deny	none
192.88.99.2	deny	none
192.168.1.1	deny	none
192.175.48.1	allow	192.175.48.1
198.18.0.1	deny	none
198.51.100.1	deny	none
203.0.113.1	deny	none
223.255.255.255	allow	223.255.255.255
224.0.0.0	deny	none
239.255.255.255	deny	none
240.0.0.0	deny	none
255.255.255.255	deny	none
2606:4700:4700::1111	allow	2606:4700:4700::1111
::	deny	none
::1	deny	none
::2	deny	none
::ffff:8.8.8.8	deny	none
64:ff9b::	allow	64:ff9b::
64:ff9b::ffff:ffff	allow	64:ff9b::ffff:ffff
64:ff9b:1::	deny	none
100::	deny	none
100:0:0:1::	deny	none
2001::1	deny	none
2001:1::1	allow	2001:1::1
2001:1::2	allow	2001:1::2
2001:1::3	allow	2001:1::3
2001:2::	deny	none
2001:3::	allow	2001:3::
2001:4:112::	allow	2001:4:112::
2001:10::	deny	none
2001:20::	allow	2001:20::
2001:30::	allow	2001:30::
2001:db8::	deny	none
2002::	deny	none
2620:4f:8000::	allow	2620:4f:8000::
3fff::	deny	none
4000::1	deny	none
5f00::	deny	none
fbff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	deny	none
fc00::1	deny	none
fe00::1	deny	none
fe80::1	deny	none
fec0::1	deny	none
ff00::1	deny	none
8.8.8.8,1.1.1.1	allow	8.8.8.8,1.1.1.1
8.8.8.8,127.0.0.1	deny	none
2606:4700:4700::1111,::ffff:8.8.8.8	deny	none
empty answer set	bad-gateway	none
