# TSV: input<TAB>public-address<TAB>numeric dial value or none
8.8.8.8	allow	8.8.8.8
0.255.255.255	deny	none
1.0.0.0	allow	1.0.0.0
9.255.255.255	allow	9.255.255.255
10.0.0.0	deny	none
10.255.255.255	deny	none
11.0.0.0	allow	11.0.0.0
100.63.255.255	allow	100.63.255.255
100.64.0.0	deny	none
100.127.255.255	deny	none
100.128.0.0	allow	100.128.0.0
126.255.255.255	allow	126.255.255.255
127.0.0.0	deny	none
127.255.255.255	deny	none
128.0.0.0	allow	128.0.0.0
169.253.255.255	allow	169.253.255.255
169.254.0.0	deny	none
169.254.255.255	deny	none
169.255.0.0	allow	169.255.0.0
172.15.255.255	allow	172.15.255.255
172.16.0.0	deny	none
172.31.255.255	deny	none
172.32.0.0	allow	172.32.0.0
192.0.0.8	deny	none
192.0.0.9	allow	192.0.0.9
192.0.0.10	allow	192.0.0.10
192.0.0.11	deny	none
223.255.255.255	allow	223.255.255.255
224.0.0.0	deny	none
239.255.255.255	deny	none
240.0.0.0	deny	none
2606:4700:4700::1111	allow	2606:4700:4700::1111
::	deny	none
::2	deny	none
::fffe:ffff:ffff:ffff	allow	::fffe:ffff:ffff:ffff
::ffff:0:0:0	deny	none
::ffff:0:ffff:ffff	deny	none
::ffff:1:0:0	allow	::ffff:1:0:0
::ffff:0:127.0.0.1	deny	none
64:ff9b::	allow	64:ff9b::
64:ff9b::ffff:ffff	allow	64:ff9b::ffff:ffff
64:ff9b:1::	deny	none
100::	deny	none
100::ffff:ffff:ffff:ffff	deny	none
100:0:0:1::	deny	none
2001:1::1	allow	2001:1::1
2001:2::	deny	none
2001:2:0:ffff:ffff:ffff:ffff:ffff	deny	none
2001:2:1::	deny	none
2001:db7:ffff:ffff:ffff:ffff:ffff:ffff	allow	2001:db7:ffff:ffff:ffff:ffff:ffff:ffff
2001:db8::	deny	none
2001:db8:ffff:ffff:ffff:ffff:ffff:ffff	deny	none
2001:db9::	allow	2001:db9::
fbff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	allow	fbff:ffff:ffff:ffff:ffff:ffff:ffff:ffff
fc00::	deny	none
fdff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	deny	none
fe00::	allow	fe00::
fe7f:ffff:ffff:ffff:ffff:ffff:ffff:ffff	allow	fe7f:ffff:ffff:ffff:ffff:ffff:ffff:ffff
fe80::	deny	none
febf:ffff:ffff:ffff:ffff:ffff:ffff:ffff	deny	none
fec0::	allow	fec0::
feff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	allow	feff:ffff:ffff:ffff:ffff:ffff:ffff:ffff
ff00::	deny	none
127.0.0.1	deny	none
10.0.0.1	deny	none
172.16.0.1	deny	none
192.168.1.1	deny	none
0.0.0.0	deny	none
169.254.169.254	deny	none
224.0.0.1	deny	none
100.64.0.1	deny	none
::1	deny	none
fc00::1	deny	none
::ffff:127.0.0.1	deny	none
::ffff:8.8.8.8	allow	8.8.8.8
empty answer set	deny	none
8.8.8.8,127.0.0.1	deny	none
8.8.8.8,::ffff:0:127.0.0.1	deny	none
